2019-08-28 01:18:20,874:FileProcessing:Write to file, encoding: utf-8-sig
2019-08-28 01:18:20,888:FileProcessing:test1.cyr_utf8.txt_2.txt, to encoding: utf-8-sig
2019-08-28 01:18:20,888:FileProcessing:Write to file, encoding: windows-1251
2019-08-28 01:18:20,888:FileProcessing:test1.srt, to encoding: windows-1251
2019-08-28 01:18:20,888:FileProcessing:Write to file, encoding: windows-1251
2019-08-28 01:18:20,888:FileProcessing:test1.srt, to encoding: windows-1251
2019-08-28 01:18:20,903:FileProcessing:Write to file, encoding: utf-8-sig
2019-08-28 01:18:20,903:FileProcessing:test1.cyr_utf8.txt_2.txt, to encoding: utf-8-sig
2019-08-28 01:18:55,871:FileProcessing:Opening the file with encoding: utf-8-sig
2019-08-28 01:18:57,293:FileProcessing:Write to file, encoding: utf-8-sig
2019-08-28 01:18:57,293:FileProcessing:test1.cyr_utf8.txt_3.txt, to encoding: utf-8-sig
2019-08-28 01:18:57,293:FileProcessing:Write to file, encoding: utf-8-sig
2019-08-28 01:18:57,293:FileProcessing:test1.cyr_utf8.txt_3.txt, to encoding: utf-8-sig
2019-08-28 01:18:57,308:FileProcessing:Write to file, encoding: utf-8-sig
2019-08-28 01:18:57,308:FileProcessing:test1.cyr_utf8.txt_3.txt, to encoding: utf-8-sig
2019-08-28 01:18:57,324:FileProcessing:Write to file, encoding: utf-8-sig
2019-08-28 01:18:57,324:FileProcessing:test1.cyr_utf8.txt_3.txt, to encoding: utf-8-sig
2019-08-28 01:18:57,324:FileProcessing:Write to file, encoding: utf-8-sig
2019-08-28 01:18:57,324:FileProcessing:test1.cyr_utf8.txt_3.txt, to encoding: utf-8-sig
2019-08-28 01:18:57,324:FileProcessing:Specijalnih znakova u fajlu: [0]
2019-08-28 01:18:57,324:FileProcessing:Write to file, encoding: utf-8-sig
2019-08-28 01:18:57,339:FileProcessing:test1.cyr_utf8.txt_3.txt, to encoding: utf-8-sig
2019-08-28 01:18:57,339:FileProcessing:Write to file, encoding: utf-8-sig
2019-08-28 01:18:57,339:FileProcessing:test1.cyr_utf8.txt_3.txt, to encoding: utf-8-sig
2019-08-28 01:18:57,339:FileProcessing:Write to file, encoding: utf-8-sig
2019-08-28 01:18:57,339:FileProcessing:test1.cyr_utf8.txt_3.txt, to encoding: utf-8-sig
2019-08-28 01:18:57,339:FileProcessing:Write to file, encoding: windows-1251
2019-08-28 01:18:57,339:FileProcessing:test1.srt, to encoding: windows-1251
2019-08-28 01:18:57,355:FileProcessing:Write to file, encoding: windows-1251
2019-08-28 01:18:57,355:FileProcessing:test1.srt, to encoding: windows-1251
2019-08-28 01:18:57,355:FileProcessing:Write to file, encoding: utf-8-sig
2019-08-28 01:18:57,355:FileProcessing:test1.cyr_utf8.txt_3.txt, to encoding: utf-8-sig
2019-08-28 07:38:26,551:FileProcessing:FindCode: UnicodeDecodeError utf-8-sig
2019-08-28 07:38:26,551:FileProcessing:FindCode: UnicodeDecodeError utf-8
2019-08-28 07:38:26,551:FileProcessing:Opening the file with encoding: windows-1250
2019-08-28 07:38:29,676:FileProcessing:Write to file, encoding: utf-8-sig
2019-08-28 07:38:29,676:FileProcessing:Travelers.2016.S01E01.BDRip.X264-DEFLATE.srt.cyr_utf8.txt, to encoding: utf-8-sig
2019-08-28 07:38:29,676:FileProcessing:Write to file, encoding: utf-8-sig
2019-08-28 07:38:29,676:FileProcessing:Travelers.2016.S01E01.BDRip.X264-DEFLATE.srt.cyr_utf8.txt, to encoding: utf-8-sig
2019-08-28 07:38:29,676:FileProcessing:Write to file, encoding: utf-8-sig
2019-08-28 07:38:29,676:FileProcessing:Travelers.2016.S01E01.BDRip.X264-DEFLATE.srt.cyr_utf8.txt, to encoding: utf-8-sig
2019-08-28 07:38:29,707:FileProcessing:Write to file, encoding: utf-8-sig
2019-08-28 07:38:29,707:FileProcessing:Travelers.2016.S01E01.BDRip.X264-DEFLATE.srt.cyr_utf8.txt, to encoding: utf-8-sig
2019-08-28 07:38:29,738:FileProcessing:Write to file, encoding: utf-8-sig
2019-08-28 07:38:29,738:FileProcessing:Travelers.2016.S01E01.BDRip.X264-DEFLATE.srt.cyr_utf8.txt, to encoding: utf-8-sig
2019-08-28 07:38:29,738:FileProcessing:Specijalnih znakova u fajlu: [0]
2019-08-28 07:38:29,754:FileProcessing:Write to file, encoding: utf-8-sig
2019-08-28 07:38:29,754:FileProcessing:Travelers.2016.S01E01.BDRip.X264-DEFLATE.srt.cyr_utf8.txt, to encoding: utf-8-sig
2019-08-28 07:38:29,754:FileProcessing:Write to file, encoding: utf-8-sig
2019-08-28 07:38:29,754:FileProcessing:Travelers.2016.S01E01.BDRip.X264-DEFLATE.srt.cyr_utf8.txt, to encoding: utf-8-sig
2019-08-28 07:38:29,754:FileProcessing:Write to file, encoding: utf-8-sig
2019-08-28 07:38:29,754:FileProcessing:Travelers.2016.S01E01.BDRip.X264-DEFLATE.srt.cyr_utf8.txt, to encoding: utf-8-sig
2019-08-28 07:38:29,770:FileProcessing:Write to file, encoding: windows-1251
2019-08-28 07:38:29,770:FileProcessing:Travelers.2016.S01E01.BDRip.X264-DEFLATE.srt.srt, to encoding: windows-1251
2019-08-28 07:38:29,879:FileProcessing:Write to file, encoding: windows-1251
2019-08-28 07:38:29,879:FileProcessing:Travelers.2016.S01E01.BDRip.X264-DEFLATE.srt.srt, to encoding: windows-1251
2019-08-28 07:38:29,895:FileProcessing:Write to file, encoding: utf-8-sig
2019-08-28 07:38:29,895:FileProcessing:Travelers.2016.S01E01.BDRip.X264-DEFLATE.srt.cyr_utf8.txt, to encoding: utf-8-sig
2019-08-28 07:47:23,802:FileProcessing:FindCode: UnicodeDecodeError utf-8-sig
2019-08-28 07:47:23,802:FileProcessing:FindCode: UnicodeDecodeError utf-8
2019-08-28 07:47:23,818:FileProcessing:Opening the file with encoding: windows-1250
2019-08-28 07:47:27,443:FileProcessing:Write to file, encoding: utf-8-sig
2019-08-28 07:47:27,443:FileProcessing:Travelers.2016.S01E01.BDRip.X264-DEFLATE.cyr_utf8.txt, to encoding: utf-8-sig
2019-08-28 07:47:27,443:FileProcessing:Write to file, encoding: utf-8-sig
2019-08-28 07:47:27,443:FileProcessing:Travelers.2016.S01E01.BDRip.X264-DEFLATE.cyr_utf8.txt, to encoding: utf-8-sig
2019-08-28 07:47:27,443:FileProcessing:Write to file, encoding: utf-8-sig
2019-08-28 07:47:27,443:FileProcessing:Travelers.2016.S01E01.BDRip.X264-DEFLATE.cyr_utf8.txt, to encoding: utf-8-sig
2019-08-28 07:47:27,474:FileProcessing:Write to file, encoding: utf-8-sig
2019-08-28 07:47:27,474:FileProcessing:Travelers.2016.S01E01.BDRip.X264-DEFLATE.cyr_utf8.txt, to encoding: utf-8-sig
2019-08-28 07:47:27,505:FileProcessing:Write to file, encoding: utf-8-sig
2019-08-28 07:47:27,505:FileProcessing:Travelers.2016.S01E01.BDRip.X264-DEFLATE.cyr_utf8.txt, to encoding: utf-8-sig
2019-08-28 07:47:27,521:FileProcessing:Specijalnih znakova u fajlu: [0]
2019-08-28 07:47:27,521:FileProcessing:Write to file, encoding: utf-8-sig
2019-08-28 07:47:27,521:FileProcessing:Travelers.2016.S01E01.BDRip.X264-DEFLATE.cyr_utf8.txt, to encoding: utf-8-sig
2019-08-28 07:47:27,521:FileProcessing:Write to file, encoding: utf-8-sig
2019-08-28 07:47:27,521:FileProcessing:Travelers.2016.S01E01.BDRip.X264-DEFLATE.cyr_utf8.txt, to encoding: utf-8-sig
2019-08-28 07:47:27,537:FileProcessing:Write to file, encoding: utf-8-sig
2019-08-28 07:47:27,537:FileProcessing:Travelers.2016.S01E01.BDRip.X264-DEFLATE.cyr_utf8.txt, to encoding: utf-8-sig
2019-08-28 07:47:27,537:FileProcessing:Write to file, encoding: windows-1251
2019-08-28 07:47:27,552:FileProcessing:Travelers.2016.S01E01.BDRip.X264-DEFLATE.srt, to encoding: windows-1251
2019-08-28 07:47:27,662:FileProcessing:Write to file, encoding: windows-1251
2019-08-28 07:47:27,662:FileProcessing:Travelers.2016.S01E01.BDRip.X264-DEFLATE.srt, to encoding: windows-1251
2019-08-28 07:47:27,677:FileProcessing:Write to file, encoding: utf-8-sig
2019-08-28 07:47:27,677:FileProcessing:Travelers.2016.S01E01.BDRip.X264-DEFLATE.cyr_utf8.txt, to encoding: utf-8-sig
2019-08-28 21:26:52,016:FileProcessing:FindCode: UnicodeDecodeError utf-8-sig
2019-08-28 21:26:52,016:FileProcessing:FindCode: UnicodeDecodeError utf-8
2019-08-28 21:26:52,016:FileProcessing:Opening the file with encoding: windows-1250
2019-08-28 21:27:27,653:FileProcessing:Write to file, encoding: utf-8-sig
2019-08-28 21:27:27,653:FileProcessing:Travelers.2016.S01E01.BDRip.X264-DEFLATE.cyr_utf8.txt, to encoding: utf-8-sig
2019-08-28 21:27:27,653:FileProcessing:Write to file, encoding: utf-8-sig
2019-08-28 21:27:27,653:FileProcessing:Travelers.2016.S01E01.BDRip.X264-DEFLATE.cyr_utf8.txt, to encoding: utf-8-sig
2019-08-28 21:27:27,653:FileProcessing:Write to file, encoding: utf-8-sig
2019-08-28 21:27:27,653:FileProcessing:Travelers.2016.S01E01.BDRip.X264-DEFLATE.cyr_utf8.txt, to encoding: utf-8-sig
2019-08-28 21:27:27,687:FileProcessing:Write to file, encoding: utf-8-sig
2019-08-28 21:27:27,687:FileProcessing:Travelers.2016.S01E01.BDRip.X264-DEFLATE.cyr_utf8.txt, to encoding: utf-8-sig
2019-08-28 21:27:27,721:FileProcessing:Write to file, encoding: utf-8-sig
2019-08-28 21:27:27,721:FileProcessing:Travelers.2016.S01E01.BDRip.X264-DEFLATE.cyr_utf8.txt, to encoding: utf-8-sig
2019-08-28 21:27:27,738:FileProcessing:Specijalnih znakova u fajlu: [0]
2019-08-28 21:27:27,738:FileProcessing:Write to file, encoding: utf-8-sig
2019-08-28 21:27:27,738:FileProcessing:Travelers.2016.S01E01.BDRip.X264-DEFLATE.cyr_utf8.txt, to encoding: utf-8-sig
2019-08-28 21:27:27,738:FileProcessing:Write to file, encoding: utf-8-sig
2019-08-28 21:27:27,738:FileProcessing:Travelers.2016.S01E01.BDRip.X264-DEFLATE.cyr_utf8.txt, to encoding: utf-8-sig
2019-08-28 21:27:27,755:FileProcessing:Write to file, encoding: utf-8-sig
2019-08-28 21:27:27,755:FileProcessing:Travelers.2016.S01E01.BDRip.X264-DEFLATE.cyr_utf8.txt, to encoding: utf-8-sig
2019-08-28 21:27:27,755:FileProcessing:Write to file, encoding: windows-1251
2019-08-28 21:27:27,755:FileProcessing:Travelers.2016.S01E01.BDRip.X264-DEFLATE.srt, to encoding: windows-1251
2019-08-28 21:27:27,891:FileProcessing:Write to file, encoding: windows-1251
2019-08-28 21:27:27,891:FileProcessing:Travelers.2016.S01E01.BDRip.X264-DEFLATE.srt, to encoding: windows-1251
